epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2509.46,0.22542,0.18282,0.16199,0.8422,0.99719,0.99756,0.99475,0.96517,0.99597,0.99633,0.99474,0.97786,0.25671,0.21199,0.16245,0.85435,0.000573656,0.000573656,0.000573656
55,2555.86,0.22608,0.18305,0.16217,0.84263,0.99674,0.99756,0.99496,0.9646,0.99479,0.99633,0.99495,0.9783,0.26662,0.20479,0.16417,0.86243,0.000553027,0.000553027,0.000553027
56,2602.26,0.22143,0.18294,0.1595,0.84091,0.99659,0.99722,0.99469,0.96749,0.99537,0.996,0.99468,0.98076,0.25813,0.20028,0.16192,0.8568,0.000532398,0.000532398,0.000532398
57,2648.78,0.21844,0.17968,0.15783,0.83716,0.99896,0.9973,0.995,0.96815,0.99773,0.99607,0.995,0.98184,0.26086,0.20929,0.15967,0.85061,0.000511769,0.000511769,0.000511769
58,2695.2,0.21591,0.17701,0.15486,0.83473,0.99787,0.99719,0.99495,0.96991,0.99665,0.99597,0.99494,0.98328,0.24837,0.19421,0.15365,0.84434,0.00049114,0.00049114,0.00049114
59,2741.63,0.21605,0.17725,0.15694,0.83173,0.99927,0.99756,0.995,0.96913,0.99804,0.99633,0.99499,0.98257,0.2495,0.19479,0.15429,0.84461,0.000470511,0.000470511,0.000470511
60,2788.04,0.21265,0.17621,0.15635,0.82781,0.99808,0.99711,0.995,0.97149,0.99685,0.99594,0.99499,0.98246,0.24428,0.19061,0.14917,0.8381,0.000449882,0.000449882,0.000449882
61,2834.47,0.20897,0.1765,0.15103,0.82457,0.99834,0.99759,0.995,0.96909,0.99709,0.99637,0.99499,0.98129,0.24967,0.19341,0.1504,0.85181,0.000429253,0.000429253,0.000429253
62,2880.89,0.20452,0.1732,0.14851,0.82744,0.99638,0.99699,0.99485,0.9698,0.99515,0.99576,0.99483,0.98223,0.24678,0.1945,0.15588,0.84472,0.000408623,0.000408623,0.000408623
63,2927.36,0.20191,0.17398,0.14713,0.82658,0.99717,0.99725,0.99484,0.96816,0.99724,0.99588,0.99484,0.98138,0.2476,0.20143,0.15092,0.84789,0.000387994,0.000387994,0.000387994
64,2973.77,0.19843,0.17164,0.14486,0.8194,0.99796,0.99756,0.99499,0.96761,0.99639,0.99724,0.99498,0.98089,0.25218,0.20365,0.14841,0.85777,0.000367365,0.000367365,0.000367365
65,3020.18,0.19377,0.17077,0.14138,0.81896,0.99786,0.99756,0.99499,0.96836,0.99663,0.99633,0.99496,0.98235,0.24765,0.19799,0.15043,0.85307,0.000346736,0.000346736,0.000346736
66,3066.61,0.19123,0.16998,0.14104,0.82004,0.99724,0.99701,0.99489,0.96613,0.997,0.99387,0.99489,0.9814,0.25786,0.20063,0.15367,0.86298,0.000326107,0.000326107,0.000326107
67,3112.95,0.19075,0.16782,0.13914,0.81655,0.99669,0.9951,0.99482,0.96747,0.99376,0.99756,0.9948,0.98132,0.25083,0.19863,0.15179,0.85815,0.000305478,0.000305478,0.000305478
68,3159.38,0.18704,0.16705,0.13625,0.81602,0.99786,0.99709,0.99489,0.97008,0.99663,0.99586,0.99486,0.98194,0.24335,0.19866,0.14481,0.85213,0.000284849,0.000284849,0.000284849
69,3205.83,0.18279,0.16748,0.13402,0.81397,0.99793,0.99756,0.99474,0.97135,0.9967,0.99633,0.9947,0.98305,0.235,0.19953,0.14377,0.84211,0.00026422,0.00026422,0.00026422
70,3252.26,0.18144,0.16593,0.13257,0.81254,0.99716,0.99633,0.99466,0.97031,0.99593,0.9951,0.99463,0.98232,0.23687,0.20127,0.14695,0.84417,0.00024359,0.00024359,0.00024359
71,3299.85,0.17755,0.16502,0.13231,0.81392,0.99653,0.99633,0.99482,0.97091,0.9953,0.9951,0.99479,0.9821,0.23519,0.2023,0.14748,0.84707,0.000222961,0.000222961,0.000222961
72,3346.17,0.1751,0.16478,0.13034,0.80978,0.99781,0.99633,0.99483,0.97147,0.99659,0.9951,0.9948,0.98211,0.2333,0.20268,0.14086,0.84748,0.000202332,0.000202332,0.000202332
73,3392.51,0.17232,0.16341,0.12788,0.80914,0.99802,0.99471,0.99486,0.97152,0.99678,0.99348,0.99482,0.98105,0.23629,0.20132,0.14028,0.85299,0.000181703,0.000181703,0.000181703
74,3438.86,0.17448,0.16375,0.12744,0.80951,0.99724,0.99504,0.99486,0.97183,0.99601,0.99381,0.99481,0.98219,0.23106,0.19696,0.13888,0.84925,0.000161074,0.000161074,0.000161074
75,3485.22,0.16876,0.16106,0.12464,0.80572,0.99439,0.99756,0.99479,0.97264,0.99464,0.99633,0.99474,0.98261,0.23104,0.2011,0.14154,0.84813,0.000140445,0.000140445,0.000140445
76,3531.59,0.16661,0.16058,0.12447,0.80561,0.99476,0.99731,0.99478,0.97333,0.99354,0.99608,0.99474,0.98314,0.22924,0.19896,0.13954,0.84279,0.000119816,0.000119816,0.000119816
77,3577.99,0.16614,0.16017,0.12293,0.80553,0.99601,0.99734,0.99481,0.97289,0.99479,0.99611,0.99476,0.98263,0.23201,0.19953,0.13913,0.84531,9.91865e-05,9.91865e-05,9.91865e-05
78,3624.31,0.16201,0.15849,0.12054,0.80423,0.99701,0.99754,0.99457,0.97121,0.99579,0.99631,0.99452,0.98205,0.23319,0.2012,0.14023,0.84821,7.85574e-05,7.85574e-05,7.85574e-05
79,3670.63,0.15943,0.15906,0.11814,0.80369,0.99708,0.99729,0.99478,0.97268,0.99585,0.9961,0.99472,0.98298,0.23409,0.19931,0.13816,0.84863,5.79283e-05,5.79283e-05,5.79283e-05
80,3716.98,0.15716,0.15804,0.117,0.80087,0.99691,0.99633,0.99484,0.97259,0.99569,0.9951,0.99479,0.98275,0.23198,0.19808,0.13774,0.84813,3.72991e-05,3.72991e-05,3.72991e-05
